code_postal,code_type_local,longitude,latitude,valeur_fonciere_x,surface_reelle_bati,nombre_pieces_principales,surface_terrain,valeur_fonciere_y,pourcentage,categorie
75001,2,2.324711,48.8664,4600000,184,5,0,8471000,84.15217391304348,14
75001,2,2.3316630000000003,48.865887,462000,47,3,0,670000,45.02164502164502,13
75001,2,2.332855,48.867084000000006,140000,15,1,0,180000,28.571428571428573,12
75001,2,2.334881,48.865322,615000,82,3,0,1100000,78.86178861788618,14
75002,2,2.340989,48.870133,155000,24,1,0,276600,78.45161290322581,14
75002,2,2.3439200000000002,48.868889,148120,22,1,0,277481,87.3352687010532,2
75002,2,2.346299,48.869156,150000,27,1,0,276500,84.33333333333333,14
75002,2,2.353259,48.868378,588300,60,3,0,618550,5.141934387217406,11
75003,2,2.352921,48.863409000000004,624460,58,3,0,603000,-3.4365691957851583,9
75003,2,2.354331,48.864878000000004,447000,56,2,0,250000,-44.07158836689038,1
75003,2,2.354363,48.864644,300000,34,2,0,390000,30.0,12
75003,2,2.3550709999999997,48.868629999999996,880000,40,1,0,415000,-52.84090909090909,0
75003,2,2.357011,48.864677,265000,31,2,0,382039,44.16566037735849,13
75003,2,2.358916,48.863259,490000,36,2,0,407950,-16.744897959183675,7
75003,2,2.359054,48.859107,1145000,70,3,0,563985,-50.74366812227074,0
75003,2,2.361373,48.86596,1100000,101,5,0,1100000,0.0,9
75003,2,2.361766,48.857449,2200000,121,6,0,2176250,-1.0795454545454546,9
75003,2,2.363569,48.866713,585000,70,3,0,930000,58.97435897435897,13
75003,2,2.364129,48.859381,265000,32,1,0,395000,49.056603773584904,13
75004,2,2.3502810000000003,48.860945,640000,53,2,0,790000,23.4375,12
75004,2,2.3510720000000003,48.861445,580500,58,3,0,577000,-0.602928509905254,9
75004,2,2.359454,48.856823,440000,42,1,0,510000,15.909090909090908,12
75004,2,2.3620900000000002,48.854167,372000,32,2,0,496400,33.44086021505376,12
75004,2,2.367524,48.854279,170000,16,1,0,215000,26.470588235294116,12
75005,2,2.338673,48.841366,390000,48,3,0,690900,77.15384615384616,14
75005,2,2.3419060000000003,48.847364,775500,78,4,0,1080000,39.26499032882012,13
75005,2,2.3432310000000003,48.849684,380000,31,1,0,220500,-41.973684210526315,1
75005,2,2.344811,48.850395,287740,23,1,0,281366,-2.215194272607215,9
75005,2,2.345702,48.852768,584900,76,2,0,740000,26.51735339374252,12
75005,2,2.3462669999999997,48.852614,960000,94,5,0,1250000,30.208333333333332,12
75005,2,2.347957,48.847773,443000,31,2,0,300000,-32.27990970654628,1
75005,2,2.3486599999999997,48.843095,213000,18,1,0,169000,-20.657276995305164,7
75005,2,2.350646,48.845484,205000,16,1,0,225000,9.75609756097561,11
75005,2,2.351207,48.848442999999996,232000,23,1,0,270000,16.379310344827587,12
75005,2,2.351378,48.839386,1035000,58,2,0,707500,-31.642512077294686,1
75005,2,2.352383,48.841840000000005,530000,41,2,0,488190,-7.888679245283019,8
75005,2,2.353241,48.842499,266000,31,2,0,312000,17.293233082706767,12
75005,2,2.353539,48.849007,957150,101,4,0,1040000,8.655905552943635,11
75005,2,2.360205,48.839809,143500,31,2,0,340000,136.93379790940767,4
75006,2,2.317903,48.846724,615000,68,3,0,806841,31.193658536585367,12
75006,2,2.322388,48.846834,580000,41,1,0,670000,15.517241379310345,12
75006,2,2.328115,48.84867,681350,87,4,0,1050000,54.10581932927277,13
75006,2,2.328933,48.850253,440000,33,2,0,574900,30.65909090909091,12
75006,2,2.329858,48.843191,105000,10,1,0,180000,71.42857142857143,14
75006,2,2.330542,48.849771000000004,885000,74,3,0,1075000,21.468926553672315,12
75006,2,2.33305,48.856173999999996,2540000,148,5,0,4508000,77.48031496062993,14
75006,2,2.333554,48.851637,215000,15,1,0,240000,11.627906976744185,12
75006,2,2.333936,48.851949,135000,12,1,0,126000,-6.666666666666667,8
75006,2,2.3345689999999997,48.851745,191880,25,1,0,360000,87.61726078799249,2
75006,2,2.33557,48.851452,936893,60,3,0,1440654,53.76932050938581,13
75006,2,2.336216,48.854890000000005,380000,27,2,0,550000,44.73684210526316,13
75006,2,2.3362689999999997,48.855882,740000,38,2,0,995000,34.45945945945946,12
75006,2,2.33724,48.851596,450000,32,1,0,419286,-6.825333333333333,8
75006,2,2.3377630000000003,48.854754,302000,28,1,0,405000,34.10596026490066,12
75006,2,2.338466,48.850515,1500000,85,5,0,1130000,-24.666666666666668,7
75006,2,2.3398470000000002,48.855774,236500,15,1,0,242500,2.536997885835095,10
75006,2,2.341088,48.853496,495300,29,2,0,670000,35.27155259438724,13
75006,2,2.342743,48.852638,163010,15,1,0,185500,13.796699588982271,12
75006,2,2.343117,48.853947,405000,136,5,0,184000,-54.5679012345679,0
75007,2,2.297413,48.859966,240000,26,2,0,362650,51.104166666666664,13
75007,2,2.29913,48.857952000000004,214250,32,1,0,416180,94.24970828471412,2
75007,2,2.299651,48.860042,1248850,126,3,0,1551300,24.218280818352884,12
75007,2,2.302146,48.856901,145000,20,2,0,210000,44.827586206896555,13
75007,2,2.302697,48.861345,1680000,200,6,0,3711930,120.94821428571429,3
75007,2,2.3027029999999997,48.85965,290000,32,2,0,323600,11.586206896551724,12
75007,2,2.303727,48.856264,658000,55,3,0,638800,-2.917933130699088,9
75007,2,2.304448,48.857783000000005,754000,50,3,0,780000,3.4482758620689653,10
75007,2,2.304854,48.854902,600000,40,3,0,405000,-32.5,1
75007,2,2.3056389999999998,48.857337,779500,70,3,0,710000,-8.915971776779987,8
75007,2,2.315528,48.858127,3200000,336,8,0,4284000,33.875,12
75007,2,2.327362,48.858349,160000,13,1,0,185000,15.625,12
