code_postal,code_type_local,longitude,latitude,valeur_fonciere_x,surface_reelle_bati,nombre_pieces_principales,surface_terrain,valeur_fonciere_y,pourcentage,categorie
75002,2,2.336057,48.868327,300380,25,2,0,410200,36.56035688128371,13
75002,2,2.34347,48.86967,1080000,95,4,0,2510000,132.40740740740742,3
75002,2,2.3448450000000003,48.86742,1149900,138,2,0,1462500,27.184972606313593,12
75002,2,2.345189,48.867398,187800,20,1,0,254760,35.65495207667732,13
75002,2,2.3464270000000003,48.867736,250500,27,1,0,332839,32.86986027944112,12
75002,2,2.347834,48.866924,745000,80,3,0,1100000,47.651006711409394,13
75002,2,2.350573,48.864831,547000,80,3,0,186000,-65.9963436928702,0
75002,2,2.350982,48.865796,128000,15,1,0,179350,40.1171875,13
75002,2,2.3519919999999996,48.866661,160000,25,1,0,284400,77.75,14
75003,2,2.351171,48.86319,1800000,43,2,0,3000000,66.66666666666667,14
75003,2,2.354921,48.864733,646000,52,2,0,742000,14.860681114551083,12
75003,2,2.355517,48.868083,320000,42,2,0,320000,0.0,9
75003,2,2.3555200000000003,48.868521,148000,13,1,0,179270,21.12837837837838,12
75003,2,2.358323,48.866764,465780,41,2,0,415170,-10.865644724977457,7
75003,2,2.3590720000000003,48.867567,600020,50,3,0,696600,16.0961301289957,12
75003,2,2.363453,48.859899,285000,27,3,0,300000,5.2631578947368425,11
75003,2,2.364359,48.861647,443000,45,3,0,600000,35.44018058690745,13
75003,2,2.364673,48.857803000000004,350000,44,3,0,522616,49.31885714285714,13
75003,2,2.367307,48.858777,542000,60,3,0,489000,-9.77859778597786,8
75004,2,2.35722,48.857447,390000,26,1,0,440000,12.820512820512821,12
75004,2,2.3624009999999998,48.8537,1303200,95,4,0,1563000,19.935543278084715,12
75005,2,2.341694,48.848065999999996,19400000,47,2,366,25000000,28.8659793814433,12
75005,2,2.3419060000000003,48.847364,775500,78,4,0,1335000,72.14700193423597,14
75005,2,2.345998,48.839016,145000,15,1,0,154000,6.206896551724138,11
75005,2,2.347407,48.837522,700000,60,3,0,900000,28.571428571428573,12
75005,2,2.348656,48.83739,432000,43,2,0,494000,14.351851851851851,12
75005,2,2.349012,48.844592,506000,50,2,0,550000,8.695652173913043,11
75005,2,2.35258,48.843377000000004,336000,38,2,0,400000,19.047619047619047,12
75005,2,2.3541790000000002,48.845827,236500,25,1,0,240000,1.4799154334038056,10
75006,2,2.319785,48.847071,108000,7,1,0,127000,17.59259259259259,12
75006,2,2.3229849999999996,48.848872,2000000,67,2,0,1200000,-40.0,1
75006,2,2.328025,48.849551,475000,32,2,0,570000,20.0,12
75006,2,2.3300389999999997,48.842115,837900,71,4,0,1208450,44.22365437403031,13
75006,2,2.330368,48.852336,500000,98,4,0,1396066,179.2132,5
75006,2,2.330727,48.842542,430000,18,1,0,450000,4.651162790697675,10
75006,2,2.330971,48.844316,833000,70,3,0,947500,13.745498199279712,12
75006,2,2.3312049999999997,48.852514,1400000,128,5,0,2000610,42.90071428571429,13
75006,2,2.332769,48.852191,1110000,77,3,0,1750044,57.66162162162162,13
75006,2,2.335222,48.855994,2150000,79,4,0,1290000,-40.0,1
75006,2,2.335563,48.85595,257040,14,1,0,379704,47.72175536881419,13
75006,2,2.3379659999999998,48.851991999999996,725000,69,3,0,1077470,48.61655172413793,13
75006,2,2.338059,48.854056,545000,60,3,0,650000,19.26605504587156,12
75006,2,2.339286,48.851739,962240,108,7,0,1504000,56.30196208846026,13
75006,2,2.339722,48.854267,1492830,119,3,0,3138409,110.23217647019419,3
75006,2,2.340332,48.853526,532000,35,2,0,670000,25.93984962406015,12
75007,2,2.298563,48.859074,511700,44,3,0,630000,23.119015047879618,12
75007,2,2.3016919999999996,48.857399,273000,25,1,0,306000,12.087912087912088,12
75007,2,2.305772,48.861981,1181610,80,4,0,1165000,-1.4057091595365645,9
75007,2,2.31127,48.85046,1445000,109,5,0,1589750,10.017301038062284,12
75007,2,2.318498,48.849946,250000,23,2,0,365000,46.0,13
75007,2,2.318619,48.851878,345000,29,2,0,465000,34.78260869565217,12
75007,2,2.320679,48.856215999999996,1765000,59,3,0,770000,-56.373937677053824,0
75007,2,2.3220400000000003,48.860128,2081800,112,4,0,2587750,24.303487366701894,12
75007,2,2.324528,48.855264,1979500,110,5,0,2370400,19.747410962364235,12
75007,2,2.327099,48.858263,1178600,100,2,0,1560500,32.402850839979635,12
75008,2,2.299366,48.877814,232000,35,2,0,377050,62.52155172413793,14
75008,2,2.299932,48.869507,550000,55,3,0,500000,-9.090909090909092,8
75008,2,2.301412,48.87838,1835000,150,4,0,2558675,39.43732970027248,13
75008,2,2.305499,48.874098,258306,28,1,0,281180,8.855388570145486,11
75008,2,2.318854,48.881058,59000,9,1,0,65000,10.169491525423728,12
75008,2,2.3189319999999998,48.874644,35250000,58,1,430,77808000,-1.111128964539007,9
75008,2,2.319569,48.879882,889000,50,3,0,1020000,14.735658042744657,12
75008,2,2.320316,48.869552,1135000,90,2,0,1261000,11.101321585903083,12
75008,2,2.32079,48.872412,1105351,196,7,0,3217153,191.05261586591047,6
75008,2,2.323552,48.880863,260000,23,2,0,280000,7.6923076923076925,11
75008,2,2.3248580000000003,48.881732,146000,15,1,0,150000,2.73972602739726,10
75008,2,2.3255,48.880039000000004,55000,13,1,0,127000,130.9090909090909,3
75009,2,2.333438,48.874091,570000,63,3,0,822000,44.21052631578947,13
75009,2,2.3341060000000002,48.882956,285000,38,2,0,418100,46.70175438596491,13
75009,2,2.335101,48.879596,456000,48,2,0,579400,27.06140350877193,12
75009,2,2.341662,48.878265,350000,45,2,0,460000,31.428571428571427,12
75009,2,2.341732,48.877093,1529900,140,5,0,1800000,17.654748676384077,12
75009,2,2.346111,48.882456,160000,14,1,0,149200,-6.75,8
75010,2,2.3509029999999997,48.875978,175000,21,1,0,315000,80.0,14
75010,2,2.3514180000000002,48.870212,926300,80,4,0,1073900,15.934362517542914,12
75010,2,2.352245,48.881359,560000,63,3,0,690000,23.214285714285715,12
75010,2,2.3523810000000003,48.880004,687000,80,4,0,795000,15.720524017467248,12
75010,2,2.3525669999999996,48.872791,635860,75,3,0,928450,46.01484603529079,13
75010,2,2.353884,48.872345,631500,64,4,0,672000,6.4133016627078385,11
75010,2,2.356409,48.872644,535000,75,3,0,1219000,127.85046728971963,3
75010,2,2.360106,48.870906,235000,25,2,0,255000,8.51063829787234,11
75010,2,2.360843,48.87157,263040,30,1,0,287000,9.108880778588809,11
75010,2,2.361693,48.872606,220000,38,2,0,370380,68.35454545454546,14
75010,2,2.363313,48.881662,95000,10,1,0,125000,31.57894736842105,12
75010,2,2.364994,48.883097,412510,46,2,0,490000,18.78499915153572,12
75010,2,2.3681419999999997,48.883057,180000,22,1,0,200000,11.11111111111111,12
75010,2,2.36995,48.875033,540000,51,2,0,135600,-74.88888888888889,0
75010,2,2.3710009999999997,48.871938,217364,24,2,0,253000,16.39461916416702,12
75011,2,2.368033,48.866752000000005,355000,48,2,0,497700,40.19718309859155,13
75011,2,2.3702799999999997,48.866565,235830,29,1,0,310000,31.450621210193784,12
75011,2,2.371012,48.862879,315000,32,2,0,350000,11.11111111111111,12
75011,2,2.373168,48.86824,770000,82,4,0,870000,12.987012987012987,12
75011,2,2.374732,48.865736,140000,24,1,0,185000,32.142857142857146,12
75011,2,2.375593,48.867363,527650,54,2,0,575000,8.97375153984649,11
75011,2,2.377793,48.858155,170000,16,1,0,193025,13.544117647058824,12
75011,2,2.37794,48.862235,250000,32,2,0,340000,36.0,13
75011,2,2.3786419999999997,48.856476,470800,45,2,0,517980,10.02124044180119,12
75011,2,2.378735,48.870067999999996,166250,25,2,0,210680,26.72481203007519,12
75011,2,2.379581,48.863971,415000,50,2,0,460000,10.843373493975903,12
75011,2,2.381662,48.860233,137500,12,1,0,182381,32.640727272727275,12
75011,2,2.381793,48.859367,349000,35,2,0,360000,3.151862464183381,10
75011,2,2.382484,48.866695,537000,60,3,0,710000,32.21601489757914,12
75011,2,2.384355,48.862981,417000,44,2,0,495000,18.705035971223023,12
75011,2,2.385475,48.857003999999996,285000,34,2,0,358000,25.614035087719298,12
75011,2,2.385779,48.858914,640000,70,4,0,880000,37.5,13
75011,2,2.386111,48.852108,215000,30,2,0,360870,67.84651162790698,14
75011,2,2.386861,48.857240000000004,270000,37,1,0,300000,11.11111111111111,12
75011,2,2.3906509999999996,48.85109,240200,30,2,0,283200,17.90174854288093,12
75012,2,2.37295,48.846237,290000,46,2,0,347000,19.655172413793103,12
75012,2,2.3734889999999997,48.850088,224930,12,1,0,95000,-57.76463788734273,0
75012,2,2.375418,48.849747,174600,20,1,0,224600,28.6368843069874,12
75012,2,2.379538,48.850046,350000,42,2,0,407600,16.457142857142856,12
75012,2,2.387962,48.848284,175000,19,1,0,199056,13.746285714285714,12
75012,2,2.392843,48.838884,254400,35,1,0,299000,17.531446540880502,12
75012,2,2.399845,48.845933,505000,60,3,0,591000,17.02970297029703,12
75012,2,2.399877,48.846071,385000,45,2,0,402000,4.415584415584416,10
75012,2,2.399893,48.834365000000005,276250,35,2,0,276000,-0.09049773755656108,9
75012,2,2.4007099999999997,48.837356,245000,34,2,0,347350,41.775510204081634,13
75012,2,2.405878,48.846967,310000,34,2,0,320666,3.4406451612903224,10
75013,2,2.342382,48.829101,216500,28,1,0,273905,26.515011547344113,12
75013,2,2.347766,48.836764,305000,31,1,0,400000,31.147540983606557,12
75013,2,2.348866,48.830915000000005,615000,70,3,0,506000,-17.723577235772357,7
75013,2,2.353024,48.828895,379900,40,3,0,266666,-29.806264806528034,1
75013,2,2.353194,48.835764000000005,353410,34,2,0,335000,-5.20924705016836,8
75013,2,2.354114,48.830428999999995,126860,12,1,0,162500,28.093961847706133,12
75013,2,2.3547849999999997,48.837292,210000,27,2,0,235133,11.968095238095238,12
75013,2,2.355448,48.821238,271000,34,2,0,255000,-5.904059040590406,8
75013,2,2.3559069999999998,48.827024,315000,40,2,0,405000,28.571428571428573,12
75013,2,2.358327,48.836186,225000,29,2,0,304000,35.111111111111114,13
75013,2,2.3600939999999997,48.838582,877330,99,4,0,955000,8.85299716184332,11
75013,2,2.36647,48.831616,235000,10,1,0,145550,-38.06382978723404,1
75013,2,2.367597,48.826934,426000,54,3,0,515000,20.892018779342724,12
75013,2,2.36815,48.82697,346000,40,2,0,422700,22.167630057803468,12
75013,2,2.3693880000000003,48.826159000000004,210000,24,2,0,225000,7.142857142857143,11
75013,2,2.373532,48.825734999999995,344500,48,3,0,421053,22.221480406386068,12
75013,2,2.375804,48.828978,191078,30,2,0,319000,66.94752928123593,14
75014,1,2.327446,48.831016,820000,45,3,0,1190000,45.1219512195122,13
75014,2,2.31488,48.829508000000004,315000,35,2,0,313000,-0.6349206349206349,9
75014,2,2.318652,48.83296,420000,21,1,0,430000,2.380952380952381,10
75014,2,2.321367,48.831554,585000,69,3,0,755500,29.145299145299145,12
75014,2,2.3223849999999997,48.835988,179100,20,1,0,177500,-0.8933556672250139,9
75014,2,2.322597,48.836179,285000,33,3,0,185900,-34.771929824561404,1
75014,2,2.322864,48.824670000000005,178000,17,1,0,174500,-1.9662921348314606,9
75014,2,2.323033,48.824953,325000,30,2,0,305500,-6.0,8
75014,2,2.324176,48.842546999999996,350961,40,2,0,220000,-37.31497231886164,1
75014,2,2.324182,48.827049,332500,35,2,0,372700,12.090225563909774,12
75014,2,2.326013,48.831466999999996,280000,30,2,0,272300,-2.75,9
75014,2,2.326178,48.834376,700000,58,3,0,740000,5.714285714285714,11
75014,2,2.327675,48.835788,325000,60,4,0,665000,104.61538461538461,2
75014,2,2.3302389999999997,48.823465999999996,205000,25,2,0,245000,19.51219512195122,12
