code_postal,code_type_local,longitude,latitude,valeur_fonciere_x,surface_reelle_bati,nombre_pieces_principales,surface_terrain,valeur_fonciere_y,pourcentage,categorie
75001,2,2.330927,48.866588,427000,37,2,0,408500,-4.332552693208431,7
75001,2,2.3359,48.866555,285000,22,1,0,298000,4.56140350877193,8
75001,2,2.346881,48.859251,650000,60,3,0,536550,-17.453846153846154,5
75001,2,2.348759,48.861865,415000,57,3,0,436400,5.156626506024097,9
75002,2,2.3341540000000003,48.869649,550000,87,3,0,810000,47.27272727272727,11
75002,2,2.336201,48.869032000000004,1087000,110,4,0,1275000,17.295308187672493,10
75002,2,2.347211,48.865004,208480,74,3,0,181000,-13.181120491174214,5
75002,2,2.347514,48.867706,1100000,45,2,59,1550000,40.90909090909091,11
75002,2,2.347515,48.864917999999996,167500,23,1,0,215000,28.35820895522388,10
75002,2,2.350253,48.869627,740000,84,5,0,810000,9.45945945945946,9
75002,2,2.351444,48.866244,630000,68,3,0,555000,-11.904761904761905,5
75003,2,2.35719,48.868443,241800,30,2,0,328300,35.77336641852771,11
75003,2,2.357272,48.865978000000005,295000,36,3,0,463690,57.18305084745763,11
75003,2,2.359453,48.864965000000005,125000,25,2,0,170000,36.0,11
75004,2,2.3542549999999998,48.857079999999996,604100,60,2,0,660000,9.253434861777851,9
75004,2,2.35507,48.856984999999995,202000,18,1,0,193000,-4.455445544554456,7
75004,2,2.362228,48.854396,323000,31,1,0,135540,-58.037151702786375,0
75005,2,2.342789,48.841996,490759,56,3,0,670000,36.52322219256295,11
75005,2,2.344393,48.851957,252000,30,1,0,295384,17.215873015873015,10
75005,2,2.3452990000000002,48.852951000000004,99000,10,1,0,162000,63.63636363636363,12
75005,2,2.345889,48.852444,210000,28,2,0,351600,67.42857142857143,12
75005,2,2.345998,48.839016,170000,16,1,0,180000,5.882352941176471,9
75005,2,2.346207,48.84475,840000,48,2,0,600000,-28.571428571428573,1
75005,2,2.3466009999999997,48.848456,395000,42,2,0,361470,-8.48860759493671,6
75005,2,2.348998,48.845679,291000,23,2,0,303000,4.123711340206185,8
75005,2,2.350829,48.850989,985000,100,2,0,1015000,3.045685279187817,8
75005,2,2.3519740000000002,48.847514000000004,535000,50,2,0,599400,12.037383177570094,10
75005,2,2.353656,48.841427,281820,32,2,0,333705,18.410687672982753,10
75006,2,2.324046,48.846688,575000,42,2,0,450000,-21.73913043478261,5
75006,2,2.324632,48.845079999999996,568000,70,2,0,690000,21.47887323943662,10
75006,2,2.328405,48.844783,150000,9,1,0,175000,16.666666666666668,10
75006,2,2.3298200000000002,48.843243,185507,37,2,0,180000,-2.9686211301999386,7
75006,2,2.3312049999999997,48.852514,1285000,132,1,0,1574942,22.563579766536964,10
75006,2,2.332178,48.847390999999995,3800000,150,5,0,4400000,15.789473684210526,10
75006,2,2.334384,48.851943,237000,28,2,0,334950,41.32911392405063,11
75006,2,2.33618,48.851502,230000,12,1,0,170000,-26.08695652173913,1
