code_postal,code_type_local,longitude,latitude,valeur_fonciere_x,surface_reelle_bati,nombre_pieces_principales,surface_terrain,valeur_fonciere_y,pourcentage,categorie
75001,2,2.329031,48.865065,225000,15,1,0,200000,-11.11111111111111,5
75001,2,2.333499,48.865096,36175000,107,3,706,52142968,44.14089288182446,11
75001,2,2.346493,48.859398999999996,210000,15,1,0,229630,9.347619047619048,9
75001,2,2.347432,48.860096,328000,24,1,0,160000,-51.21951219512195,0
75002,2,2.346718,48.866209999999995,212640,20,1,0,227700,7.082392776523702,9
75002,2,2.3473759999999997,48.868226,650340,63,2,0,740000,13.786634683396377,10
75002,2,2.348766,48.865893,431000,38,2,0,395000,-8.352668213457077,6
75002,2,2.350863,48.869471999999995,1100000,155,2,51,1850000,68.18181818181819,12
75003,2,2.3541220000000003,48.862924,124000,12,1,0,225000,81.45161290322581,12
75003,2,2.358028,48.864801,245000,25,1,0,232500,-5.1020408163265305,6
75003,2,2.3581849999999998,48.86769,435000,34,2,0,480000,10.344827586206897,10
75003,2,2.358719,48.866686,560000,48,2,0,633000,13.035714285714286,10
75003,2,2.362996,48.864962,400000,40,2,0,550000,37.5,11
75004,2,2.355277,48.856854,245000,24,1,0,264000,7.755102040816326,9
75004,2,2.356055,48.858571000000005,995000,78,2,0,1242600,24.884422110552762,10
75004,2,2.356882,48.857155999999996,1050000,96,4,0,1640000,56.19047619047619,11
75004,2,2.358246,48.853417,1466653,90,4,0,1331200,-9.235517876416576,6
75004,2,2.362045,48.855304,166000,20,1,0,182500,9.939759036144578,9
75004,2,2.362102,48.854584,585000,50,2,0,696500,19.05982905982906,10
75004,2,2.366959,48.852157,1192300,95,5,0,1040000,-12.773630797618049,5
75005,2,2.337701,48.839940000000006,327500,31,0,0,169850,-48.13740458015267,1
75005,2,2.3419060000000003,48.847364,1080000,78,4,0,1335000,23.61111111111111,10
75005,2,2.343404,48.845853999999996,590000,38,2,0,580800,-1.5593220338983051,7
75005,2,2.3460330000000003,48.839420000000004,627000,50,3,0,660000,5.2631578947368425,9
75005,2,2.347359,48.849108,580000,49,3,0,688000,18.620689655172413,10
75005,2,2.347468,48.849404,878800,60,3,0,920000,4.688211197086937,8
75005,2,2.347627,48.840112,206000,26,1,0,260000,26.21359223300971,10
75005,2,2.3498639999999997,48.841046999999996,310000,29,3,0,486931,57.07451612903226,11
75005,2,2.3502099999999997,48.838334,368900,30,1,0,361800,-1.924640824071564,7
75005,2,2.3505529999999997,48.839185,205000,20,2,0,200000,-2.4390243902439024,7
75005,2,2.3511319999999998,48.838941,1150000,42,2,0,455000,-60.43478260869565,0
75005,2,2.352027,48.837663,220000,22,2,0,325000,47.72727272727273,11
75005,2,2.352097,48.84042,428000,45,3,0,477000,11.448598130841122,10
75005,2,2.352361,48.846413,166980,12,1,0,157500,-5.677326625943227,6
75005,2,2.353699,48.845867,232700,19,1,0,200000,-14.052428018908467,5
75005,2,2.358489,48.839905,933000,81,4,0,892000,-4.394426580921758,7
75006,2,2.328539,48.843828,230000,5,1,0,232000,0.8695652173913043,8
75006,2,2.329654,48.845948,1897130,131,5,0,805000,-57.56748351457201,0
75006,2,2.331911,48.856388,304800,25,1,0,372000,22.04724409448819,10
75006,2,2.333452,48.841727,701690,46,3,0,1180000,68.1654291781271,12
75006,2,2.3379950000000003,48.853031,250000,58,3,0,648350,159.34,4
75006,2,2.339686,48.85495,155000,10,1,0,165000,6.451612903225806,9
75006,2,2.339717,48.849548999999996,211500,16,1,0,222200,5.0591016548463354,9
75007,2,2.297727,48.853662,1680000,120,4,0,1951884,16.18357142857143,10
75007,2,2.3007009999999997,48.851782,2075000,114,4,0,2310000,11.325301204819278,10
75007,2,2.304596,48.857551,178882,18,1,0,251225,40.441743719323355,11
75007,2,2.304887,48.858968,920000,87,5,0,1196150,30.016304347826086,10
75007,2,2.306453,48.857521999999996,1010000,80,3,0,1265200,25.26732673267327,10
75007,2,2.309341,48.856469,472500,34,2,0,450000,-4.761904761904762,7
75007,2,2.316926,48.851956,527000,55,3,0,699000,32.63757115749526,10
75007,2,2.322623,48.857656,1200000,69,3,0,1572085,31.007083333333334,10
75007,2,2.3241549999999997,48.85505,2390000,139,5,0,3300000,38.07531380753138,11
75007,2,2.324511,48.851939,3362500,184,6,0,4563300,35.711524163568775,11
75007,2,2.325978,48.856309,362000,31,2,0,430000,18.784530386740332,10
75007,2,2.328433,48.854535999999996,370000,27,1,0,350000,-5.405405405405405,6
75007,2,2.329155,48.858952,2875000,173,6,0,3004100,4.490434782608696,8
75007,2,2.329618,48.858089,300000,22,1,0,328000,9.333333333333334,9
75008,2,2.299451,48.875257,1200000,74,2,0,1052800,-12.266666666666667,5
75008,2,2.305499,48.874098,375000,28,1,0,281180,-25.018666666666668,1
75008,2,2.31397,48.870909999999995,3250000,115,2,0,4100000,26.153846153846153,10
75008,2,2.317758,48.876173,1730000,150,5,0,1420000,-17.91907514450867,5
75008,2,2.3195240000000004,48.871977,1125562,89,2,0,1230700,9.34093368468374,9
75008,2,2.3237759999999996,48.873236,390000,29,2,0,475000,21.794871794871796,10
75008,2,2.3255,48.880039000000004,85000,13,1,0,127000,49.411764705882355,11
75009,2,2.328419,48.879982,565000,60,3,0,532000,-5.84070796460177,6
75009,2,2.336217,48.877394,135000000,89,3,5751,168300000,-7.1479058962962965,6
75009,2,2.336513,48.879757,360000,33,2,0,392200,8.944444444444445,9
75009,2,2.33671,48.877707,1300000,46,2,0,2740000,110.76923076923077,3
75009,2,2.3369009999999997,48.877296,8200000,48,2,362,11500000,40.24390243902439,11
75009,2,2.337644,48.880241,260000,33,2,0,390000,50.0,11
75009,2,2.341018,48.880519,876500,70,4,0,855000,-2.452937820878494,7
75009,2,2.342119,48.879782,646720,60,3,0,887750,37.269606630381,11
75009,2,2.342413,48.876814,530000,62,4,0,700000,32.075471698113205,10
75009,2,2.34484,48.876753,629464,54,3,0,650000,3.262458218420752,8
75009,2,2.346111,48.882456,100000,14,1,0,149200,49.2,11
75010,2,2.356395,48.879360999999996,446490,50,3,0,533000,19.375573921028465,10
75010,2,2.35745,48.870953,146000,16,1,0,149000,2.0547945205479454,8
75010,2,2.357612,48.869749,760000,71,3,0,240000,-68.42105263157895,0
75010,2,2.357964,48.869881,680000,55,3,0,504000,-25.88235294117647,1
75010,2,2.358782,48.872729,423510,45,3,0,442900,4.57840428797431,8
75010,2,2.359658,48.872999,325000,30,2,0,265000,-18.46153846153846,5
75010,2,2.360001,48.8826,695000,96,3,0,960000,38.1294964028777,11
75010,2,2.360106,48.870906,244500,25,2,0,255000,4.294478527607362,8
75010,2,2.360909,48.874402,485000,49,3,0,538000,10.927835051546392,10
75010,2,2.3643919999999996,48.870757,595000,42,3,0,480000,-19.327731092436974,5
75010,2,2.364732,48.873334,300000,22,2,0,312500,4.166666666666667,8
75010,2,2.3666270000000003,48.875283,1600000,47,1,0,1600000,0.0,7
75010,2,2.3678369999999997,48.869137,295000,29,2,0,336000,13.898305084745763,10
75011,2,2.367372,48.865746,558500,52,3,0,615000,10.116383169203223,10
75011,2,2.37037,48.861101,1046000,95,3,0,1100000,5.162523900573614,9
75011,2,2.372398,48.863308,480770,56,3,0,614462,27.80789150737359,10
75011,2,2.372953,48.864045000000004,315000,29,2,0,330000,4.761904761904762,8
75011,2,2.375474,48.854833,295000,25,2,0,260000,-11.864406779661017,5
