code_postal,code_type_local,longitude,latitude,valeur_fonciere_x,surface_reelle_bati,nombre_pieces_principales,surface_terrain,valeur_fonciere_y,pourcentage,categorie
75001,2,2.332358,48.866375,1323810,130,5,0,2055000,55.23375711015931,12
75001,2,2.332573,48.867101,325000,68,3,0,855769,163.31353846153846,5
75001,2,2.3466169999999997,48.863499,540000,44,2,0,590000,9.25925925925926,10
75001,2,2.348759,48.861865,415000,57,3,0,650175,56.66867469879518,12
75002,2,2.3341540000000003,48.869649,550000,87,3,0,835000,51.81818181818182,12
75002,2,2.336388,48.868496,342000,47,2,0,460000,34.50292397660819,11
75002,2,2.341628,48.868435,566700,52,2,0,593400,4.71148755955532,9
75002,2,2.3440849999999998,48.867709000000005,152850,22,1,0,230000,50.47432122996402,12
75002,2,2.344455,48.865256,344000,30,1,0,485000,40.98837209302326,12
75002,2,2.346718,48.866209999999995,175000,20,1,0,212640,21.50857142857143,11
75002,2,2.346726,48.866702000000004,518600,53,3,0,690000,33.05052063247204,11
75002,2,2.348029,48.869811,305000,33,2,0,369000,20.983606557377048,11
75002,2,2.348074,48.867913,860000,111,5,0,1129500,31.337209302325583,11
75002,2,2.348353,48.870335,184000,30,2,0,203800,10.76086956521739,11
75002,2,2.352019,48.869065,65000,18,1,0,162500,150.0,4
75002,2,2.3534439999999996,48.868902,360000,37,2,0,376180,4.4944444444444445,9
75003,2,2.357637,48.863403999999996,630500,65,3,0,797375,26.467089611419507,11
75003,2,2.358131,48.868305,790000,75,4,0,795000,0.6329113924050633,9
75003,2,2.359065,48.86548,192000,19,1,0,285000,48.4375,12
75003,2,2.360826,48.861575,1580000,137,5,0,2070000,31.0126582278481,11
75003,2,2.361952,48.863345,1450000,140,6,0,2741750,89.08620689655173,2
75003,2,2.3642,48.857735,442500,45,2,0,510000,15.254237288135593,11
75003,2,2.364289,48.861504,345000,34,2,0,450000,30.434782608695652,11
75003,2,2.365787,48.86292,636074,84,3,0,895000,40.70689888283439,12
75004,2,2.356821,48.851481,464250,31,2,0,335000,-27.840603123317177,1
75004,2,2.358021,48.850859,150000,14,1,0,165000,10.0,10
75004,2,2.359484,48.855769,225000,25,1,0,287500,27.77777777777778,11
75004,2,2.362883,48.855063,142000,18,1,0,257000,80.98591549295774,13
75004,2,2.363635,48.853260999999996,518000,50,1,0,590000,13.8996138996139,11
75004,2,2.366959,48.852157,890000,95,5,0,1192300,33.96629213483146,11
75005,2,2.340232,48.840319,371500,39,1,0,465000,25.168236877523555,11
75005,2,2.34105,48.842343,370000,19,1,0,246190,-33.462162162162166,1
75005,2,2.34427,48.851817,280000,26,1,0,370000,32.142857142857146,11
75005,2,2.345998,48.839016,170000,16,1,0,197293,16.05470588235294,11
75005,2,2.3486599999999997,48.843095,160000,18,1,0,169000,5.625,10
75005,2,2.34903,48.844226,500000,50,2,0,638100,27.62,11
75005,2,2.349227,48.848929999999996,251465,31,1,0,349250,38.88612729405683,12
75005,2,2.350595,48.850398999999996,290000,17,1,0,180000,-37.93103448275862,1
75005,2,2.35072,48.842286,235000,19,1,0,305000,29.78723404255319,11
75005,2,2.355403,48.849160999999995,1278800,114,5,0,1600000,25.117297466374726,11
